START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
,,,,,,,
2017-04-08 05:04:33,2017-04-08 13:20:51,2017-04-07 22:04:33 PDT,2017-04-08 06:20:51 PDT,29778, Sleep, , 
2017-04-08 18:37:28,2017-04-08 18:42:38,2017-04-08 11:37:28 PDT,2017-04-08 11:42:38 PDT,310, Walk, , 
2017-04-08 19:49:43,2017-04-08 23:07:34,2017-04-08 15:49:43 EDT,2017-04-08 19:07:34 EDT,11871, Work, Walmart Supercenter, 
2017-04-08 23:07:34,2017-04-08 23:17:32,2017-04-08 19:07:34 EDT,2017-04-08 19:17:32 EDT,598, Transport, , 
2017-04-08 23:17:32,2017-04-09 12:46:41,2017-04-08 19:17:32 EDT,2017-04-09 08:46:41 EDT,48549, Home, Home, 
2017-04-09 05:32:34,2017-04-09 11:44:02,2017-04-09 01:32:34 EDT,2017-04-09 07:44:02 EDT,22288, Sleep, Home, 
2017-04-09 12:47:07,2017-04-09 12:56:19,2017-04-09 08:47:07 EDT,2017-04-09 08:56:19 EDT,552, Transport, , 
2017-04-09 12:56:19,2017-04-09 20:43:03,2017-04-09 08:56:19 EDT,2017-04-09 16:43:03 EDT,28004, Work, Walmart Supercenter, 
2017-04-09 20:57:34,2017-04-09 21:06:34,2017-04-09 16:57:34 EDT,2017-04-09 17:06:34 EDT,540, Walk, , 
2017-04-09 21:10:13,2017-04-09 21:19:19,2017-04-09 17:10:13 EDT,2017-04-09 17:19:19 EDT,546, Transport, , 
2017-04-09 21:30:58,2017-04-10 11:46:28,2017-04-09 17:30:58 EDT,2017-04-10 07:46:28 EDT,51330, Home, Home, 
2017-04-10 04:24:47,2017-04-10 10:35:37,2017-04-10 00:24:47 EDT,2017-04-10 06:35:37 EDT,22250, Sleep, Home, 
2017-04-10 11:46:28,2017-04-10 12:05:41,2017-04-10 07:46:28 EDT,2017-04-10 08:05:41 EDT,1153, Commute to work, , 
