fperson,fquote,together
Joshua Waitzkin,"The moment we believe that success is determined by an ingrained level of ability as opposed to resilience and hard work, we will be brittle in the face of adversity.","""The moment we believe that success is determined by an ingrained level of ability as opposed to resilience and hard work, we will be brittle in the face of adversity."" --Joshua Waitzkin"
Gever Tulley,Persistence and resilience only come from having been given the chance to work though difficult problems.,"""Persistence and resilience only come from having been given the chance to work though difficult problems."" --Gever Tulley"
Albert Bandura,"In order to succeed, people need a sense of self-efficacy, to struggle together with resilience to meet the inevitable obstacles and inequities of life.","""In order to succeed, people need a sense of self-efficacy, to struggle together with resilience to meet the inevitable obstacles and inequities of life."" --Albert Bandura"
Jamais Cascio,Resilience is all about being able to overcome the unexpected. Sustainability is about survival. The goal of resilience is to thrive.,"""Resilience is all about being able to overcome the unexpected. Sustainability is about survival. The goal of resilience is to thrive."" --Jamais Cascio"
Jennifer Hyman,"I think that life is difficult. People have challenges. Family members get sick, people get older, you don't always get the job or the promotion that you want. You have conflicts in your life. And really, life is about your resilience and your ability to go through your life and all of the ups and downs with a positive attitude.","""I think that life is difficult. People have challenges. Family members get sick, people get older, you don't always get the job or the promotion that you want. You have conflicts in your life. And really, life is about your resilience and your ability to go through your life and all of the ups and downs with a positive attitude."" --Jennifer Hyman"
Amy Morin,There will always be obstacles and challenges that stand in your way. Building mental strength will help you develop resilience to those potential hazards so you can continue on your journey to success.,"""There will always be obstacles and challenges that stand in your way. Building mental strength will help you develop resilience to those potential hazards so you can continue on your journey to success."" --Amy Morin"
Amy Morin,"Everyone has the ability to increase resilience to stress. It requires hard work and dedication, but over time, you can equip yourself to handle whatever life throws your way without adverse effects to your health. Training your brain to manage stress won't just affect the quality of your life, but perhaps even the length of it.","""Everyone has the ability to increase resilience to stress. It requires hard work and dedication, but over time, you can equip yourself to handle whatever life throws your way without adverse effects to your health. Training your brain to manage stress won't just affect the quality of your life, but perhaps even the length of it."" --Amy Morin"
Brooke Shields,"Someone said adversity builds character, but someone else said adversity reveals character. I'm pleasantly surprised with my resilience. I persevere, and not just blindly. I take the best, get rid of the rest, and move on, realizing that you can make a choice to take the good.","""Someone said adversity builds character, but someone else said adversity reveals character. I'm pleasantly surprised with my resilience. I persevere, and not just blindly. I take the best, get rid of the rest, and move on, realizing that you can make a choice to take the good."" --Brooke Shields"
Elizabeth Edwards,"Resilience is accepting your new reality, even if it's less good than the one you had before.","""Resilience is accepting your new reality, even if it's less good than the one you had before."" --Elizabeth Edwards"
Jean Chatzky,"Resilience isn't a single skill. It's a variety of skills and coping mechanisms. To bounce back from bumps in the road as well as failures, you should focus on emphasizing the positive.","""Resilience isn't a single skill. It's a variety of skills and coping mechanisms. To bounce back from bumps in the road as well as failures, you should focus on emphasizing the positive."" --Jean Chatzky"
Naomi Wolf,"Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness.","""Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness."" --Naomi Wolf"
Arianna Huffington,"In a culture fueled by burnout, a culture that has run itself down, our national resilience becomes compromised. And when our collective immune system is weakened, we become more susceptible to viruses that are part of every culture because they're part of human nature - fear-mongering, scapegoating, conspiracy theories, and demagoguery.","""In a culture fueled by burnout, a culture that has run itself down, our national resilience becomes compromised. And when our collective immune system is weakened, we become more susceptible to viruses that are part of every culture because they're part of human nature - fear-mongering, scapegoating, conspiracy theories, and demagoguery."" --Arianna Huffington"
Sheri L. Dew,"Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires.","""Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires."" --Sheri L. Dew"
Coretta Scott King,"When fear rushed in, I learned how to hear my heart racing but refused to allow my feelings to sway me. That resilience came from my family. It flowed through our bloodline.","""When fear rushed in, I learned how to hear my heart racing but refused to allow my feelings to sway me. That resilience came from my family. It flowed through our bloodline."" --Coretta Scott King"
Sheryl Sandberg,I think we build resilience to prepare for whatever adversity we'll face. And we all face some adversity - we're all living some form of Option B.,"""I think we build resilience to prepare for whatever adversity we'll face. And we all face some adversity - we're all living some form of Option B."" --Sheryl Sandberg"
